Rank,Title,Author,Rating,Review Count,Book Type,Price,Link
#1,Deewar Mein Ek Khidki Rahti Thi । दीवार में एक खिड़की रहती थी [ साहित्य अकादमी पुरस्कार से पुरस्कृत उपन्यास ],Vinod Kumar Shukla,4.5 out of 5 stars,134,Paperback,₹216.00,https://www.amazon.in/Deewar-%E0%A4%B8%E0%A4%BE%E0%A4%B9%E0%A4%BF%E0%A4%A4%E0%A5%8D%E0%A4%AF-%E0%A4%AA%E0%A5%81%E0%A4%B0%E0%A4%B8%E0%A5%8D%E0%A4%95%E0%A4%BE%E0%A4%B0-%E0%A4%AA%E0%A5%81%E0%A4%B0%E0%A4%B8%E0%A5%8D%E0%A4%95%E0%A5%83%E0%A4%A4-%E0%A4%89%E0%A4%AA%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B8/dp/939282078X/ref=zg_bs_g_books_d_sccl_1/258-0244681-7806356?psc=1
#2,Unbarbaad : For Those Who Feel Lost by Shobhit Nirwan,Shobhit Nirwan,4.9 out of 5 stars,"1,351",Paperback,₹238.00,https://www.amazon.in/Unbarbaad-Those-Feel-Shobhit-Nirwan/dp/9367478437/ref=zg_bs_g_books_d_sccl_2/258-0244681-7806356?psc=1
#3,Rd Sharma Class 10 Maths 2025-26 CBSE Examinations | R D Sharma Class 10 Mathematics with MCQ Book (Set of 2 Books),R D Sharma,4.6 out of 5 stars,50,Paperback,₹594.00,https://www.amazon.in/Sharma-Class-2025-26-Examinations-Mathematics/dp/8193663098/ref=zg_bs_g_books_d_sccl_3/258-0244681-7806356?psc=1
#4,My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,"82,385",Board book,₹401.00,https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_g_books_d_sccl_4/258-0244681-7806356?psc=1
#5,Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,Thibaut Meurisse,4.4 out of 5 stars,"13,606",Paperback,₹199.00,https://www.amazon.in/Dopamine-Detox-Remove-Distractions-Things/dp/8183286011/ref=zg_bs_g_books_d_sccl_5/258-0244681-7806356?psc=1
#6,The Psychology of Money,Morgan Housel,4.6 out of 5 stars,"71,201",Paperback,₹275.00,https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_g_books_d_sccl_6/258-0244681-7806356?psc=1
#7,All In One Social Science CBSE Class 10th Based On Latest NCERT For CBSE Exams 2025 | Mind map in each chapter | Clear & Concise Theory | Intext & Chapter Exercises | Sample Question Papers,Susmita Dhar Kriti Arora,4.4 out of 5 stars,745,Paperback,₹375.00,https://www.amazon.in/Science-chapter-Concise-Exercises-Question/dp/9359986704/ref=zg_bs_g_books_d_sccl_7/258-0244681-7806356?psc=1
#8,"Too Good to Be True : A smart, funny will-they-won’t-they romance by mostlysane",Prajakta Koli,4.4 out of 5 stars,929,Paperback,₹274.00,https://www.amazon.in/Too-Good-True-will-they-wont-they-mostlysane/dp/936569339X/ref=zg_bs_g_books_d_sccl_8/258-0244681-7806356?psc=1
#9,GUNAHO KA DEVTA,DHARAMVEER BHARTI,4.6 out of 5 stars,"1,459",Paperback,₹222.00,https://www.amazon.in/GUNAHO-KA-DEVTA-DHARAMVEER-BHARTI/dp/B01MFDA7D5/ref=zg_bs_g_books_d_sccl_9/258-0244681-7806356?psc=1
#10,Atomic Habits,James Clear,4.6 out of 5 stars,"102,644",Paperback,₹548.00,https://www.amazon.in/Atomic-Habits-James-Clear/dp/1847941834/ref=zg_bs_g_books_d_sccl_10/258-0244681-7806356?psc=1
#11,The Commonsense Diet : Order a copy and win a free consultation,Rujuta Diwekar,4.8 out of 5 stars,17,Paperback,₹220.00,https://www.amazon.in/Commonsense-Diet-Order-copy-consultation/dp/9353457505/ref=zg_bs_g_books_d_sccl_11/258-0244681-7806356?psc=1
#12,"PW NTA NEET Rankers Test Series 2025 Updated as per Latest NEET Pattern 180 Questions Verified & Curated by Expert Faculties | 10 Full Syllabus + 4 Part Syllabus (Class 11 & 12) | OMR Sheet, Solution Booklet with NCERT References",Physics Wallah,4.4 out of 5 stars,62,Paperback,₹619.00,https://www.amazon.in/Questions-Verified-Faculties-Syllabus-References/dp/9368972370/ref=zg_bs_g_books_d_sccl_12/258-0244681-7806356?psc=1
#13,"White Nights – Fyodor Dostoyevsky | A Million-Copy Bestseller | A Timeless Story of Love, Longing & Solitude – Penguin Classics",Fyodor Dostoyevsky,4.6 out of 5 stars,"1,794",Mass Market Paperback,₹103.00,https://www.amazon.in/White-Nights-Penguin-Little-Classics/dp/0241252083/ref=zg_bs_g_books_d_sccl_13/258-0244681-7806356?psc=1
#14,Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,Wonder House Books,4.5 out of 5 stars,"6,339",Hardcover,₹201.00,https://www.amazon.in/Animals-Tales-Panchtantra-Timeless-Children/dp/9389178118/ref=zg_bs_g_books_d_sccl_14/258-0244681-7806356?psc=1
#15,Word Power Made Easy By Norman Lewis (More than 700 Pages),Norman Lewis,4.4 out of 5 stars,"3,435",Paperback,₹156.00,https://www.amazon.in/Word-Power-Norman-Lewis-Pages/dp/B09LV1KHKV/ref=zg_bs_g_books_d_sccl_15/258-0244681-7806356?psc=1
#16,"PW NTA NEET Rankers Test Series 2025 Verified & Curated by Expert Faculties | 10 Full Syllabus + 4 Part Syllabus (Class 11 & 12) | OMR Sheet, Solution Booklet with NCERT References",Physics Wallah (PW),4.4 out of 5 stars,142,Paperback,₹409.00,https://www.amazon.in/Verified-Faculties-Syllabus-Solution-References/dp/9348141066/ref=zg_bs_g_books_d_sccl_16/258-0244681-7806356?psc=1
#17,Grandma's Bag of Stories (R/J),Murty Sudha,4.6 out of 5 stars,"21,538",Paperback,₹173.00,https://www.amazon.in/Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623/ref=zg_bs_g_books_d_sccl_17/258-0244681-7806356?psc=1
#18,The Power of Your Subconscious Mind: Original Classic Edition | Premium Paperback,Joseph Murphy,4.5 out of 5 stars,"50,316",Paperback,₹149.00,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666/ref=zg_bs_g_books_d_sccl_18/258-0244681-7806356?psc=1
#19,All In One Science CBSE Class 10th Based On Latest NCERT For CBSE Exams 2025 | Mind map in each chapter | Clear & Concise Theory | Intext & Chapter Exercises | Sample Question Papers,"Dr. parul Goel Ranjan , Abhshek Gupta",4.4 out of 5 stars,624,Paperback,₹405.00,https://www.amazon.in/Science-chapter-Concise-Exercises-Question/dp/9359988170/ref=zg_bs_g_books_d_sccl_19/258-0244681-7806356?psc=1
#20,Careless People: A story of where I used to work,Sarah Wynn-Williams,4.6 out of 5 stars,276,Paperback,₹614.00,https://www.amazon.in/Careless-People-story-where-used/dp/1035065932/ref=zg_bs_g_books_d_sccl_20/258-0244681-7806356?psc=1
#21,My First 365 Coloring Book: Jumbo Coloring Book For Kids (With Tear Out Sheets),Wonder House Books,4.5 out of 5 stars,"1,741",Paperback,₹213.00,https://www.amazon.in/My-First-365-Colouring-Book/dp/9390183006/ref=zg_bs_g_books_d_sccl_21/258-0244681-7806356?psc=1
