Name,Highest degree offered,County name,Religious affiliation,Offers Less than one year certificate,Offers One but less than two years certificate,Offers Associate's degree,Offers Two but less than 4 years certificate,Offers Postbaccalaureate certificate,Offers Master's degree,Offers Post-master's certificate,Offers Doctor's degree - research/scholarship,Offers Doctor's degree - professional practice,Offers Doctor's degree - other,Offers Other degree,Applicants total,Admissions total,Enrolled total,"Estimated enrollment, total","Estimated undergraduate enrollment, total","Estimated freshman undergraduate enrollment, total","Estimated graduate enrollment, total",Associate's degrees awarded,Bachelor's degrees awarded,Master's degrees awarded,Doctor's degrese - research/scholarship awarded,Doctor's degrees - professional practice awarded,Doctor's degrees - other awarded,Certificates of less than 1-year awarded,Certificates of 1 but less than 2-years awarded,Certificates of 2 but less than 4-years awarded,Postbaccalaureate certificates awarded,Post-master's certificates awarded,Number of students receiving an Associate's degree,Number of students receiving a Bachelor's degree,Number of students receiving a Master's degree,Number of students receiving a Doctor's degree,Number of students receiving a certificate of less than 1-year,Number of students receiving a certificate of 1 but less than 4-years,Number of students receiving a Postbaccalaureate or Post-master's certificate,Percent admitted - total,Admissions yield - total,"Tuition and fees, 2013-14",Total price for in-state students living on campus 2013-14,Total price for out-of-state students living on campus 2013-14,FIPS state code,Sector of institution,Historically Black College or University,Degree of urbanization (Urban-centric locale),Carnegie Classification 2010: Basic,Total  enrollment,Undergraduate enrollment,Graduate enrollment,"Graduation rate - Bachelor degree within 4 years, total","Graduation rate - Bachelor degree within 5 years, total","Graduation rate - Bachelor degree within 6 years, total",Percent of freshmen receiving any financial aid
Alabama A & M University,Doctor's degree - research/scholarship,Madison County,Not applicable,Implied no,Implied no,Implied no,Implied no,Implied no,Yes,Implied no,Yes,Implied no,Implied no,Implied no,6142.0,5521.0,1104.0,5024.0,4055.0,1104.0,969.0,0.0,604.0,213.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,604.0,213.0,8.0,0.0,0.0,9.0,90.0,20.0,7182.0,21849.0,27441.0,Alabama,"Public, 4-year or above",Yes,City: Midsize,Master's Colleges and Universities (larger programs),5020.0,4051.0,969.0,10.0,23.0,29.0,97.0
University of Alabama at Birmingham,Doctor's degree - research/scholarship and professional practice,Jefferson County,Not applicable,Implied no,Yes,Implied no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Implied no,5689.0,4934.0,1773.0,18568.0,11502.0,1773.0,7066.0,0.0,2195.0,1540.0,147.0,387.0,8.0,0.0,20.0,0.0,23.0,47.0,0.0,2159.0,1533.0,542.0,0.0,20.0,70.0,87.0,36.0,7206.0,22495.0,31687.0,Alabama,"Public, 4-year or above",No,City: Midsize,Research Universities (very high research activity),18568.0,11502.0,7066.0,29.0,46.0,53.0,90.0
University of Alabama in Huntsville,Doctor's degree - research/scholarship and professional practice,Madison County,Not applicable,Yes,Implied no,Implied no,Implied no,Yes,Yes,Yes,Yes,Yes,Implied no,Implied no,2054.0,1656.0,651.0,7376.0,5696.0,651.0,1680.0,0.0,1099.0,444.0,28.0,10.0,0.0,0.0,0.0,0.0,24.0,5.0,0.0,1091.0,444.0,38.0,0.0,0.0,28.0,81.0,39.0,9192.0,23466.0,35780.0,Alabama,"Public, 4-year or above",No,City: Midsize,Research Universities (very high research activity),7376.0,5696.0,1680.0,16.0,37.0,48.0,87.0
Alabama State University,Doctor's degree - research/scholarship and professional practice,Montgomery County,Not applicable,Implied no,Implied no,Implied no,Implied no,Implied no,Yes,Yes,Yes,Yes,Implied no,Implied no,10245.0,5251.0,1479.0,6076.0,5357.0,1542.0,719.0,0.0,600.0,147.0,3.0,45.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,599.0,147.0,48.0,0.0,0.0,27.0,51.0,28.0,8720.0,18286.0,25222.0,Alabama,"Public, 4-year or above",Yes,City: Midsize,Master's Colleges and Universities (larger programs),6075.0,5356.0,719.0,9.0,19.0,25.0,93.0
The University of Alabama,Doctor's degree - research/scholarship and professional practice,Tuscaloosa County,Not applicable,Implied no,Implied no,Implied no,Implied no,Implied no,Yes,Yes,Yes,Yes,Implied no,Implied no,30975.0,17515.0,6454.0,34752.0,29440.0,6478.0,5312.0,0.0,5000.0,1659.0,234.0,259.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,4963.0,1649.0,493.0,0.0,0.0,38.0,57.0,37.0,9450.0,27000.0,41500.0,Alabama,"Public, 4-year or above",No,City: Small,Research Universities (high research activity),34752.0,29440.0,5312.0,43.0,62.0,67.0,75.0
Auburn University at Montgomery,Doctor's degree - research/scholarship,Montgomery County,Not applicable,Implied no,Implied no,Implied no,Implied no,Implied no,Yes,Yes,Yes,Implied no,Implied no,Implied no,1958.0,1639.0,579.0,5096.0,4334.0,579.0,762.0,0.0,556.0,239.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,14.0,0.0,551.0,239.0,0.0,6.0,0.0,14.0,84.0,35.0,8750.0,17820.0,34020.0,Alabama,"Public, 4-year or above",No,City: Midsize,Master's Colleges and Universities (larger programs),5084.0,4322.0,762.0,10.0,22.0,27.0,90.0
Auburn University,Doctor's degree - research/scholarship and professional practice,Lee County,Not applicable,Implied no,Implied no,Implied no,Implied no,Yes,Yes,Yes,Yes,Yes,Yes,Implied no,15745.0,13027.0,3726.0,24864.0,19799.0,3726.0,5065.0,0.0,4278.0,1086.0,237.0,246.0,0.0,0.0,0.0,0.0,45.0,13.0,0.0,4192.0,1068.0,483.0,0.0,0.0,58.0,83.0,29.0,9852.0,25282.0,41794.0,Alabama,"Public, 4-year or above",No,City: Small,Research Universities (high research activity),24864.0,19799.0,5065.0,38.0,63.0,68.0,76.0
Birmingham Southern College,Bachelor's degree,Jefferson County,United Methodist,Implied no,Implied no,Implied no,Implied no,Implied no,Implied no,Implied no,Implied no,Implied no,Implied no,Implied no,1931.0,1240.0,356.0,1188.0,1188.0,356.0,0.0,0.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,0.0,0.0,0.0,0.0,0.0,64.0,29.0,30690.0,45470.0,45470.0,Alabama,"Private not-for-profit, 4-year or above",No,City: Midsize,Baccalaureate Colleges--Arts & Sciences,1188.0,1188.0,0.0,53.0,60.0,62.0,98.0
Huntingdon College,Bachelor's degree,Montgomery County,United Methodist,Implied no,Implied no,Implied no,Implied no,Implied no,Implied no,Implied no,Implied no,Implied no,Implied no,Implied no,1470.0,923.0,261.0,1100.0,1100.0,261.0,0.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,63.0,28.0,23500.0,33885.0,33885.0,Alabama,"Private not-for-profit, 4-year or above",No,City: Midsize,Baccalaureate Colleges--Diverse Fields,1110.0,1110.0,0.0,30.0,40.0,43.0,100.0
Jacksonville State University,Doctor's degree - research/scholarship,Calhoun County,Not applicable,Implied no,Implied no,Implied no,Implied no,Yes,Yes,Yes,Yes,Implied no,Implied no,Implied no,3083.0,2567.0,1158.0,8693.0,7588.0,1158.0,1105.0,0.0,1365.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,52.0,0.0,1365.0,339.0,0.0,0.0,0.0,71.0,83.0,45.0,7092.0,21237.0,28029.0,Alabama,"Public, 4-year or above",No,City: Small,Master's Colleges and Universities (larger programs),8693.0,7588.0,1105.0,10.0,25.0,31.0,93.0
