country,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,Continent
Afghanistan,3280000,3280000,3290000,3430000,3590000,3750000,3940000,4139999,4350000,4580000,4830000,5680000,10600000,6870000,6700000,7750000,9000000,11200000,13400000,12400000,20800000,29200000,38900000,Asia
Angola,1570000,1570000,1580000,1810000,2100000,2420000,2640000,2870000,3060000,3240000,3140000,2950000,2880000,3310000,3810000,4550000,5450000,5890000,8340000,11800000,16399999,23400000,32900000,Africa
Albania,400000,418000,437000,457000,478000,501000,551000,606000,667000,735000,811000,888000,949000,1000000,1110000,1260000,1640000,2150000,2680000,3290000,3130000,2950000,2880000,Europe
Andorra,2650,2650,2670,2850,3060,3280,3510,3760,4030,4320,4630,4990,5820,5040,5510,6200,13400,24300,36100,54500,65400,84500,77300,Europe
United Arab Emirates,40200,40200,40200,40200,40200,40200,39900,39800,41800,44100,46500,49100,53100,57800,62900,69600,92400,235000,1020000,1830000,3130000,8550000,9890000,Asia
Argentina,534000,420000,531000,635000,776000,1090000,1320000,1790000,2460000,3370000,4690000,6760000,8830000,11700000,14100000,17000000,20500000,23900000,27900000,32600000,36900000,40900000,45200000,South America
Armenia,413000,413000,416000,453000,496000,544000,594000,650000,710000,776000,849000,928000,1010000,1110000,1220000,1350000,1870000,2530000,3100000,3540000,3070000,2880000,2960000,Asia
Antigua and Barbuda,37000,37000,37000,37000,37000,37000,36800,35000,34900,36500,34600,31700,29800,31100,41000,45500,54100,64200,61900,62500,76000,88000,97900,North America
Australia,200000,259000,329000,335000,424000,623000,1290000,1760000,2200000,3050000,3690000,4330000,5270000,6330000,6970000,8180000,10200000,12800000,14600000,17000000,19000000,22200000,25500000,Oceania
Austria,3000000,3180000,3370000,3540000,3720000,3950000,4230000,4530000,4940000,5400000,5980000,6570000,6490000,6680000,6730000,6940000,7070000,7520000,7610000,7720000,8070000,8410000,9010000,Europe
Azerbaijan,880000,880000,885000,964000,1060000,1160000,1270000,1390000,1520000,1670000,1830000,2009999,2200000,2410000,2640000,2930000,3900000,5180000,6150000,7240000,8119999,9030000,10100000,Asia
Burundi,899000,899000,907000,1040000,1210000,1400000,1480000,1560000,1660000,1750000,1660000,1520000,1460000,1680000,1940000,2310000,2800000,3480000,4160000,5440000,6380000,8680000,11900000,Africa
Belgium,3250000,3340000,3450000,3750000,4080000,4440000,4740000,5100000,5540000,6090000,6720000,7440000,7570000,8050000,8340000,8640000,9170000,9630000,9870000,10000000,10300000,10900000,11600000,Europe
Benin,637000,637000,639000,684000,736000,790000,840000,924000,1020000,1100000,1180000,1300000,1420000,1640000,1900000,2260000,2430000,2910000,3720000,4980000,6870000,9200000,12100000,Africa
Burkina Faso,1670000,1670000,1670000,1730000,1790000,1850000,1910000,1970000,2069999,2180000,2330000,2610000,2860000,3250000,3670000,4280000,4830000,5620000,6820000,8810000,11600000,15600000,20900000,Africa
Bangladesh,19200000,19600000,20100000,20900000,21800000,22700000,23100000,23500000,24300000,25100000,26000000,26800000,27300000,28700000,34400000,37900000,48000000,64200000,79600000,103000000,128000000,148000000,165000000,Asia
Bulgaria,2250000,2220000,2190000,2290000,2390000,2500000,2540000,2610000,2990000,3450000,3990000,4520000,5090000,6000000,6660000,7250000,7890000,8510000,8880000,8840000,8000000,7430000,6950000,Europe
Bahrain,64500,64500,64500,64500,64500,64500,64300,64400,68000,72000,76300,82400,116000,118000,118000,116000,162000,213000,360000,496000,665000,1240000,1700000,Asia
Bahamas,27400,27400,27400,27600,27800,28400,35200,40100,45700,50700,57400,60300,58500,65600,74800,79100,110000,169000,211000,256000,298000,355000,393000,North America
Bosnia and Herzegovina,852000,852000,855000,906000,963000,1020000,1090000,1160000,1350000,1560000,1750000,1950000,2110000,2270000,2450000,2660000,3230000,3760000,4179999,4460000,3750000,3710000,3280000,Europe
